id;serial;model;jhi_desc;manu;notes;status_p
1;Security;Arizona Down-sized white;Developer Greece Concrete;calculating;Buckinghamshire driver;REPAIRED
2;Michigan;robust customer navigate;Georgia;Concrete Fantastic invoice;Central Table Creative;TBR
3;experiences Analyst Beauty;Bedfordshire Organized invoice;haptic;up systematic Assistant;Table Wooden indexing;TBR
4;clicks-and-mortar engage tan;leading-edge;compressing Forge;panel Ergonomic Centralized;Norwegian;HOLDREPAIR
5;Representative experiences Saudi;Louisiana Knoll;Organic matrix Tuna;neural Assistant firewall;Salad;HOLDREPAIR
6;Associate;Ramp Falkland Somali;cultivate;SAS neural Architect;port Account haptic;REPAIRED
7;SMTP overriding;Movies;Handmade Chair 1080p;Cliffs Practical Team-oriented;Washington blue;REFURBBED
8;analyzer wireless;Oregon Credit PNG;Implementation;SCSI Re-engineered protocol;payment;HOLDREPAIR
9;navigate Latvia;protocol;Bedfordshire world-class;Automated Credit;firewall National Licensed;REFURBBED
10;override;Polarised Checking;payment Tasty;redundant;Pizza;REFURBBED
