id;driver;pick_up_date;repair_date;delivery_date;r_order_num;inv_order_num;status_o;notes
1;portal reboot;2022-07-20T10:56:45;2022-07-20T18:39:12;2022-07-20T03:44:23;Peso Handcrafted;connect Keys online;REPAIRED;circuit Account Outdoors
2;integrate e-commerce;2022-07-20T09:17:40;2022-07-20T10:08:00;2022-07-20T12:14:31;Slovenia Cotton;Cotton;DELIVERED;Finland Small generate
3;web-enabled Oro Awesome;2022-07-20T19:43:32;2022-07-20T15:08:49;2022-07-20T20:42:29;Bedfordshire;transitional;PICKED_UP;Practical impactful protocol
4;Lead RSS channels;2022-07-20T12:14:54;2022-07-20T03:59:20;2022-07-20T09:17:24;Hryvnia Games Grocery;Uruguay virtual Granite;REPAIRED;Cambridgeshire invoice bypassing
5;Center;2022-07-20T20:07:08;2022-07-20T09:26:20;2022-07-20T03:45:59;ADP methodical;hacking;DELIVERED;primary
6;client-server pink Harbors;2022-07-20T20:15:28;2022-07-20T22:13:51;2022-07-21T02:27:56;France tertiary ivory;Assistant payment payment;TBR;Chips Denar Belarus
7;niches software Money;2022-07-21T02:37:07;2022-07-20T21:21:21;2022-07-20T15:02:09;Tasty;payment virtual;PICKED_UP;Future schemas Mouse
8;Rubber;2022-07-20T19:57:43;2022-07-20T13:56:13;2022-07-20T11:55:51;Universal Rubber;Senegal;TBR;dot-com Engineer
9;Money input Berkshire;2022-07-20T06:19:57;2022-07-20T13:25:26;2022-07-20T04:15:36;redefine;Tasty;TBR;Chicken Avon generate
10;Oro;2022-07-20T10:40:23;2022-07-20T10:14:02;2022-07-20T20:15:23;Savings Refined;virtual Account;PICKED_UP;Aruba
